discounts,num_players,odd_player,scores,avg_score_per_round,avg_score_per_offer,table_count,total_tables,round
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[4.160363758680556, 5.5, 3.8699999999999997, 2.9196362413194445, 5.445, 5.555000000000001, 4.55, 10.0, 5.5]","[0.3782148871527778, 0.5, 0.3518181818181818, 0.2654214764835859, 0.49500000000000005, 0.505, 0.41363636363636364, 0.9090909090909091, 0.5]","[0.1891074435763889, 0.4583333333333333, 0.32249999999999995, 0.24330302010995372, 0.45375000000000004, 0.23145833333333335, 0.37916666666666665, 0.45454545454545453, 0.4583333333333333]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[22, 12, 12, 12, 12, 24, 12, 22, 12]",11
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[4.160363758680556, 6.0, 3.8699999999999997, 2.9196362413194445, 5.445, 6.055000000000001, 5.05, 11.0, 6.0]","[0.34669697989004633, 0.5, 0.32249999999999995, 0.24330302010995372, 0.45375000000000004, 0.5045833333333334, 0.42083333333333334, 0.9166666666666666, 0.5]","[0.17334848994502317, 0.46153846153846156, 0.29769230769230764, 0.2245874031784188, 0.41884615384615387, 0.2328846153846154, 0.38846153846153847, 0.4583333333333333, 0.46153846153846156]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[24, 13, 13, 13, 13, 26, 13, 24, 13]",12
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[4.860286353443287, 6.5, 4.5, 3.389713646556713, 6.336, 6.564000000000001, 5.55, 12.0, 6.5]","[0.373868181034099, 0.5, 0.34615384615384615, 0.2607472035812856, 0.4873846153846154, 0.504923076923077, 0.4269230769230769, 0.9230769230769231, 0.5]","[0.1869340905170495, 0.4642857142857143, 0.32142857142857145, 0.2421224033254795, 0.45257142857142857, 0.23442857142857146, 0.3964285714285714, 0.46153846153846156, 0.4642857142857143]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[26, 14, 14, 14, 14, 28, 14, 26, 14]",13
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[4.860286353443287, 7.0, 4.5, 3.389713646556713, 6.336, 7.064000000000001, 6.05, 13.0, 7.0]","[0.34716331096023484, 0.5, 0.32142857142857145, 0.2421224033254795, 0.45257142857142857, 0.5045714285714287, 0.4321428571428571, 0.9285714285714286, 0.5]","[0.17358165548011742, 0.4666666666666667, 0.3, 0.22598090977044755, 0.4224, 0.23546666666666669, 0.4033333333333333, 0.4642857142857143, 0.4666666666666667]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[28, 15, 15, 15, 15, 30, 15, 28, 15]",14
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[5.560209470546393, 7.5, 5.13, 3.8597905294536075, 7.227, 7.573000000000001, 6.55, 14.0, 7.5]","[0.37068063136975954, 0.5, 0.34199999999999997, 0.2573193686302405, 0.4818, 0.5048666666666668, 0.43666666666666665, 0.9333333333333333, 0.5]","[0.18534031568487977, 0.46875, 0.320625, 0.24123690809085047, 0.4516875, 0.23665625000000004, 0.409375, 0.4666666666666667, 0.46875]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[30, 16, 16, 16, 16, 32, 16, 30, 16]",15
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[5.560209470546393, 8.0, 5.13, 3.8597905294536075, 7.227, 8.073, 7.05, 15.0, 8.0]","[0.3475130919091496, 0.5, 0.320625, 0.24123690809085047, 0.4516875, 0.5045625, 0.440625, 0.9375, 0.5]","[0.1737565459545748, 0.47058823529411764, 0.30176470588235293, 0.22704650173256513, 0.42511764705882354, 0.23744117647058824, 0.41470588235294115, 0.46875, 0.47058823529411764]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[32, 17, 17, 17, 17, 34, 17, 32, 17]",16
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[6.260132544121135, 8.5, 5.76, 4.329867455878866, 8.118, 8.582, 7.55, 16.0, 8.5]","[0.36824309083065504, 0.5, 0.3388235294117647, 0.2546980856399333, 0.4775294117647059, 0.5048235294117648, 0.4441176470588235, 0.9411764705882353, 0.5]","[0.18412154541532752, 0.4722222222222222, 0.32, 0.24054819199327035, 0.451, 0.2383888888888889, 0.41944444444444445, 0.47058823529411764, 0.4722222222222222]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[34, 18, 18, 18, 18, 36, 18, 34, 18]",17
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[6.260132544121135, 9.0, 5.76, 4.329867455878866, 8.118, 9.082, 8.05, 17.0, 9.0]","[0.34778514134006305, 0.5, 0.32, 0.24054819199327035, 0.451, 0.5045555555555556, 0.44722222222222224, 0.9444444444444444, 0.5]","[0.17389257067003153, 0.47368421052631576, 0.30315789473684207, 0.2278877608357298, 0.42726315789473684, 0.23900000000000002, 0.42368421052631583, 0.4722222222222222, 0.47368421052631576]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[36, 19, 19, 19, 19, 38, 19, 36, 19]",18
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[6.9600556213232405, 9.5, 6.39, 4.799944378676761, 9.009, 9.591000000000001, 8.55, 18.0, 9.5]","[0.3663187169117495, 0.5, 0.3363157894736842, 0.2526286515093032, 0.4741578947368421, 0.5047894736842106, 0.45, 0.9473684210526315, 0.5]","[0.18315935845587475, 0.475, 0.3195, 0.23999721893383805, 0.45045, 0.23977500000000002, 0.42750000000000005, 0.47368421052631576, 0.475]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[38, 20, 20, 20, 20, 40, 20, 38, 20]",19
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[6.9600556213232405, 10.0, 6.39, 4.799944378676761, 9.009, 10.091000000000001, 9.05, 19.0, 10.0]","[0.348002781066162, 0.5, 0.3195, 0.23999721893383805, 0.45045, 0.50455, 0.4525, 0.95, 0.5]","[0.174001390533081, 0.47619047619047616, 0.30428571428571427, 0.22856877993698863, 0.429, 0.2402619047619048, 0.430952380952381, 0.475, 0.47619047619047616]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[40, 21, 21, 21, 21, 42, 21, 40, 21]",20
